Gradients/Default/network-WithLossCell/_loss_fn-MSELoss/gradSquare/Mul-op30;HostCpuOps;213786052611,0.020991 214089094428,0.002171 214374621018,0.001931 215382395157,0.002352 215943624648,0.002198 216508012406,0.002072 217046741288,0.002407 217587835556,0.002333 218250374062,0.002076 218830635494,0.002214 219387026835,0.002373 219951740703,0.002188 220560645259,0.002157 220840663132,0.001838 221113792619,0.001753 221389615210,0.003053 221695521729,0.003192 221977835023,0.002823 222248463566,0.002409 222512865164,0.002439 222784815525,0.001583 223071947638,0.001867 223361447012,0.001788 223639745368,0.002374 223912242492,0.002077 224187739617,0.00266 224457408685,0.002042 224748097224,0.00266 225031818996,0.001834 225296408778,0.002202 225561239891,0.002527 225978726338,0.001667 226241652798,0.002229 226493407232,0.001718 226760923995,0.0018 227033939342,0.002049 227299617437,0.002389 227565561365,0.002468 227845101576,0.001938 228112062480,0.001885 228386759109,0.002546 228654807437,0.002111 228934100559,0.002224 229199979042,0.00192 229477811521,0.002053 229750626242,0.002242 230040309919,0.002714 230328599193,0.002119 230597907547,0.002048 230865047447,0.001933 231318080341,0.002723 231603121857,0.002805 231896614975,0.002129 232171842511,0.001788 232445964587,0.001875 232731043557,0.002241 233014540586,0.001652 233292108364,0.002043 233567070278,0.002008 233838684662,0.002012 234123278070,0.001773 234403761602,0.002744 234689858591,0.002194 234983050096,0.002755 235263699332,0.002201 235535930475,0.001824 235813590233,0.001834 236090732179,0.002715 236363702470,0.002174 236792748571,0.001874 237067397146,0.002279 237349219022,0.002379 237623624481,0.001989 237900498537,0.002203 238180906963,0.002315 238455033050,0.00187 238731244395,0.002183 239007015268,0.008868 239287712666,0.001739 239558070375,0.002113 239819721968,0.001924 240100412419,0.002292 240376654269,0.001882 240648292570,0.001991 240918004601,0.002013 241207134851,0.002211 241480543774,0.001981 241763293258,0.002391 242199582715,0.002598 242469749220,0.002065 242730380448,0.002172 243007798604,0.00219 243311520688,0.001991 243580982400,0.001974 243860953970,0.002212 244133523703,0.002472 244408741932,0.002593 244684355731,0.002003 244968166447,0.002365 245247935600,0.002385 
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op29;HostCpuOps;213786014703,0.013892 214089081373,0.003613 214374605053,0.003049 215382376625,0.003501 215943601187,0.00287 216507998976,0.003529 217046728693,0.003771 217587823422,0.003132 218250359853,0.004027 218830622908,0.003747 219387009964,0.004369 219951727454,0.003483 220560631745,0.004147 220840654264,0.002581 221113784420,0.002465 221389599099,0.00436 221695499188,0.0043 221977816759,0.004978 222248451303,0.003391 222512851406,0.003885 222784800958,0.002827 223071936215,0.002831 223361435194,0.003146 223639709096,0.023444 223912209514,0.003011 224187728407,0.003032 224457397493,0.002383 224748084823,0.003642 225031807356,0.003228 225296386379,0.003581 225561194501,0.003556 225978687114,0.003023 226241601419,0.002868 226493369744,0.002775 226760884371,0.003312 227033901116,0.002668 227299579434,0.002886 227565522695,0.003253 227845062534,0.003005 228112021706,0.003361 228386714423,0.00364 228654756615,0.003457 228934054617,0.002926 229199937014,0.003775 229477768304,0.003689 229750579419,0.00262 230040257491,0.003528 230328556963,0.003138 230597865219,0.00377 230865007283,0.00314 231318029388,0.003759 231603071643,0.003487 231896571809,0.002969 232171800265,0.002911 232445922756,0.002937 232731002230,0.0034 233014501174,0.00334 233292067761,0.003248 233567028020,0.003249 233838641551,0.002947 234123236494,0.003174 234403710825,0.003935 234689810524,0.003568 234982999257,0.003812 235263656652,0.003338 235535890690,0.002895 235813545297,0.003667 236090682034,0.004107 236363660910,0.002962 236792707205,0.003488 237067346875,0.003462 237349175467,0.003281 237623585435,0.002762 237900455259,0.003055 238180863660,0.003267 238454989390,0.003111 238731182476,0.003076 239002140773,0.003296 239287670073,0.003353 239558026321,0.003546 239819681456,0.002652 240100344444,0.003053 240376609196,0.003107 240648248446,0.003247 240917960642,0.0033 241207089132,0.00339 241480502031,0.00301 241763228470,0.003391 242199540576,0.003036 242469705365,0.003545 242730339581,0.003323 243007755978,0.003677 243311479526,0.00301 243580940804,0.002887 243860910193,0.003451 244133482793,0.002878 244408701206,0.003498 244684312558,0.002878 244968118085,0.003298 245247883759,0.002788 
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op31;HostCpuOps;213786108272,0.005391 214089164254,0.004886 214374658764,0.005267 215382429081,0.005889 215943658377,0.005327 216508078730,0.006546 217047376176,0.008384 217587870937,0.005434 218250408978,0.005577 218830689806,0.005514 219387069724,0.004976 219951776320,0.005211 220560679202,0.005312 220840690490,0.004244 221113817506,0.004488 221389699571,0.007287 221695573425,0.00592 221977898285,0.006234 222248495185,0.005929 222512901572,0.005382 222784845608,0.005597 223071981586,0.005953 223361482605,0.005147 223639791442,0.006554 223912279249,0.006144 224187773783,0.005177 224457439538,0.005211 224748135898,0.005684 225031851124,0.005829 225296440732,0.00529 225561204829,0.005677 225978695214,0.005185 226241622479,0.005538 226493377777,0.00515 226760893773,0.005814 227033909260,0.005257 227299588020,0.00549 227565531234,0.004905 227845071584,0.005163 228112030275,0.00537 228386724813,0.005267 228654766743,0.005877 228934064876,0.005686 229199946495,0.005838 229477778604,0.005415 229750587150,0.00512 230040270485,0.005675 230328565784,0.005209 230597875698,0.00498 230865015909,0.0054 231318042703,0.007094 231603083687,0.005726 231896581364,0.005312 232171808736,0.00591 232445932318,0.005488 232731011105,0.005735 233014510893,0.005175 233292076558,0.005522 233567037874,0.005788 233838650131,0.007082 234123245850,0.005681 234403722645,0.005902 234689822365,0.005639 234983011392,0.005602 235263667077,0.004965 235535899491,0.005265 235813556315,0.005252 236090694175,0.005399 236363670303,0.005665 236792716401,0.005346 237067360499,0.005676 237349184704,0.005875 237623594552,0.005067 237900464321,0.005207 238180874054,0.005348 238454998540,0.004947 238731192524,0.005026 239002149619,0.005212 239287680603,0.005227 239558036177,0.005373 239819690719,0.005047 240100353465,0.00553 240376619419,0.004984 240648258043,0.004762 240917970212,0.005401 241207098624,0.005515 241480511515,0.004894 241763255108,0.006035 242199550210,0.005514 242469715464,0.00537 242730349707,0.005373 243007765241,0.005607 243311489020,0.005132 243580949345,0.006004 243860920717,0.005189 244133491448,0.005271 244408711207,0.005152 244684321953,0.005109 244968130642,0.005475 245247892640,0.004713 
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op28;HostCpuOps;213785976034,0.012013 214089028643,0.020566 214374575554,0.003833 215382336609,0.005162 215943569543,0.003645 216507963421,0.005114 217046694803,0.004244 217587789506,0.004366 218250323903,0.004388 218830590154,0.003903 219386949893,0.004384 219951690750,0.004228 220560599708,0.004174 220840633899,0.003249 221113760087,0.003356 221389549339,0.007804 221695440235,0.007099 221977772239,0.007986 222248406755,0.005588 222512808208,0.006138 222784769802,0.006127 223071903262,0.006598 223361396988,0.006924 223639675894,0.005625 223912175732,0.005642 224187699943,0.003577 224457369728,0.003176 224748053851,0.003463 225031773149,0.004135 225296350442,0.00406 225561164071,0.003878 225978676711,0.003863 226241584486,0.00321 226493358144,0.003784 226760875714,0.003008 227033890052,0.003684 227299569242,0.004077 227565512194,0.003335 227845052982,0.0039 228112010780,0.00359 228386704309,0.003711 228654726814,0.007011 228934044645,0.003565 229199926512,0.003395 229477757852,0.004148 229750568359,0.003889 230040244947,0.004125 230328544859,0.004183 230597855191,0.004188 230864996698,0.003653 231318015928,0.004227 231603057464,0.0048 231896561743,0.003755 232171789018,0.003369 232445912791,0.003865 232730992185,0.003154 233014492034,0.003804 233292058003,0.003156 233567018802,0.003667 233838630356,0.003563 234123227105,0.003544 234403686947,0.004489 234689796302,0.004718 234982984011,0.004799 235263646446,0.003281 235535880463,0.003209 235813535178,0.003576 236090653507,0.004059 236363651034,0.004267 236792694800,0.004022 237067312993,0.004325 237349147425,0.01907 237623576351,0.003354 237900444131,0.003542 238180853632,0.003841 238454978634,0.00391 238731171320,0.004498 239002129534,0.004078 239287660184,0.003479 239558015041,0.0042 239819671545,0.003278 240100333427,0.003971 240376599188,0.003953 240648237613,0.003689 240917950503,0.003871 241207077629,0.003927 241480491973,0.003488 241763218306,0.003286 242199530239,0.003997 242469694502,0.004283 242730330166,0.00366 243007745716,0.003575 243311469207,0.003792 243580928463,0.004788 243860900353,0.003615 244133472126,0.003026 244408690342,0.004447 244684301360,0.004004 244968103957,0.004948 245247873189,0.003865 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op33;HostCpuOps;213786182281,0.007486 214089194110,0.002041 214374699001,0.002421 215382471555,0.002453 215943690513,0.001951 216508121394,0.002825 217047435981,0.003019 217587905163,0.002207 218250445886,0.00252 218830724477,0.002199 219387107874,0.002276 219951824833,0.002748 220560712811,0.002039 220840715283,0.001492 221113841820,0.001689 221389752102,0.002861 221695623190,0.002759 221977943946,0.002565 222248532949,0.00257 222512935774,0.002504 222784874245,0.00262 223072013358,0.002115 223361513839,0.002107 223639830870,0.002559 223912327866,0.002766 224187808241,0.001976 224457467789,0.001622 224748170650,0.001775 225031888981,0.002426 225296479408,0.002344 225561250711,0.001905 225978735564,0.002267 226241663925,0.00176 226493415680,0.002152 226760934629,0.002059 227033948520,0.001721 227299629014,0.00196 227565571305,0.00176 227845113017,0.001908 228112072328,0.002124 228386770753,0.001907 228654818838,0.002204 228934111555,0.001807 229199988623,0.001922 229477823166,0.002539 229750635727,0.002103 230040325376,0.002505 230328608983,0.001805 230597918647,0.002064 230865056650,0.002141 231318095257,0.002432 231603134549,0.002141 231896626615,0.002142 232171851849,0.002156 232445976665,0.00221 232731053299,0.002338 233014550999,0.002114 233292118261,0.002039 233567081601,0.001847 233838693770,0.001848 234123289811,0.001705 234403773890,0.002274 234689872156,0.002382 234983063514,0.00244 235263711408,0.00181 235535940877,0.001741 235813600721,0.001727 236090745669,0.002743 236363713899,0.00236 236792757951,0.00194 237067410770,0.01892 237349246738,0.002008 237623635371,0.001841 237900509559,0.001823 238180918797,0.002254 238455042887,0.002084 238731257078,0.002356 239007061762,0.002212 239287723800,0.00176 239558080186,0.001953 239819733238,0.002341 240100422700,0.001814 240376665935,0.002273 240648303288,0.00184 240918016742,0.00186 241207146085,0.002098 241480555131,0.001968 241763303478,0.002246 242199594565,0.002239 242469759470,0.001841 242730391797,0.00204 243007809013,0.001839 243311532526,0.002161 243580992123,0.001836 243860965760,0.001944 244133534382,0.002063 244408754270,0.002018 244684365809,0.001893 244968180136,0.002361 245247946260,0.002497 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26;HostCpuOps;213782427353,3.4396 214088944007,0.025052 214374488819,0.023684 215382223521,0.031969 215943481719,0.025364 216507866467,0.026161 217046605050,0.027653 217587671449,0.026857 218250227945,0.027341 218830502978,0.026549 219386842552,0.035173 219951557628,0.026697 220560481547,0.027036 220840560459,0.02458 221113689656,0.023375 221389312892,0.032624 221695280125,0.029707 221977569358,0.028737 222248315152,0.026979 222512709592,0.02792 222784689191,0.025154 223071821527,0.026441 223361276896,0.027862 223639586206,0.026882 223912090758,0.025455 224187614471,0.026147 224457278612,0.025251 224747965129,0.025307 225031635560,0.037722 225296228982,0.027505 225561099543,0.033496 225978624423,0.024733 226241529423,0.025242 226493297528,0.033389 226760823083,0.025007 227033835850,0.026154 227299516386,0.024624 227565458880,0.024826 227844977666,0.025243 228111938935,0.025061 228386607186,0.027696 228651282475,0.026598 228931825468,2.16259 229199855159,0.027821 229477695061,0.028387 229750511362,0.025683 230040177567,0.029511 230328485148,0.026597 230597775149,0.026447 230864930480,0.026597 231317946311,0.030311 231602991926,0.028568 231896504027,0.024905 232171730208,0.026843 232445853767,0.027383 232730934032,0.026651 233014440046,0.024535 233291999856,0.027445 233566962328,0.025434 233838553513,0.043313 234123168631,0.027268 234403622814,0.02793 234689733060,0.027942 234982918351,0.028995 235263586329,0.027924 235535823199,0.027123 235813447267,0.028107 236090564559,0.053377 236363594038,0.027334 236792624580,0.025334 237067231650,0.045118 237349093097,0.025092 237623520499,0.026554 237900386449,0.026365 238180793517,0.027113 238454905982,0.038624 238731089818,0.026712 239002070014,0.027569 239287598679,0.027095 239557955394,0.027951 239819612174,0.025922 240100273596,0.027027 240376540219,0.027227 240648178677,0.026138 240917892086,0.027354 241207000343,0.042696 241480433496,0.026707 241760968279,2.18258 242199473758,0.026831 242469638301,0.024792 242730273953,0.025904 243007689141,0.026824 243311409876,0.02905 243580845420,0.049913 243860822059,0.043942 244133413153,0.028631 244408631937,0.02733 244684241849,0.02601 244968035846,0.030694 245247813778,0.026634 
Default/optimizer-Momentum/ApplyMomentum-op35;HostCpuOps;213786268146,0.000772 214089250299,0.000818 214374792722,0.000541 215382544534,0.000798 215943761350,0.000463 216508202741,0.001179 217047518952,0.000563 217587975658,0.000483 218250530503,0.000525 218830792029,0.000544 219387181096,0.000555 219951901159,0.000552 220560781180,0.0005 220840762297,0.000729 221113890246,0.000451 221389906313,0.0008 221696393366,0.001071 221978031847,0.000623 222248601857,0.000453 222513005744,0.000527 222784953923,0.000456 223072087519,0.000514 223361576500,0.000454 223639898903,0.00068 223912407757,0.000441 224187891518,0.000477 224457556514,0.000436 224748257319,0.00066 225031956062,0.000454 225296551701,0.000611 225561293534,0.000562 225978769474,0.00045 226241701410,0.00071 226493450305,0.000401 226760967541,0.000405 227033984565,0.000503 227299663196,0.000569 227565605334,0.000808 227845147229,0.000442 228112109954,0.000466 228386812106,0.000724 228654869957,0.000557 228934188190,0.000477 229200023697,0.000502 229477864947,0.000553 229750670885,0.000502 230040373753,0.00094 230328648420,0.000912 230597957662,0.000536 230865094479,0.000495 231318143221,0.000878 231603181073,0.000864 231896665646,0.000946 232171887788,0.000508 232446016897,0.000576 232731088029,0.000455 233014585103,0.000509 233292153360,0.000495 233567116476,0.000518 233838736134,0.000504 234123325601,0.000465 234403819772,0.000686 234689915599,0.000628 234983111161,0.000684 235263771417,0.000768 235535977985,0.000499 235813643610,0.0005 236090805933,0.000728 236363750387,0.000538 236792808632,0.000607 237067475813,0.000759 237349288297,0.000712 237623670894,0.00045 237900551286,0.00054 238180971839,0.000672 238455082618,0.000508 238731302933,0.000801 239007126438,0.000511 239287761413,0.000606 239558120182,0.000669 239819772038,0.000478 240100464969,0.000532 240376705808,0.000472 240648343606,0.000475 240918075802,0.000657 241207188177,0.000544 241480594995,0.000886 241763372310,0.000679 242199632154,0.000748 242469809169,0.000822 242730426902,0.001272 243007844671,0.000847 243311569444,0.000559 243581028457,0.000498 243861003123,0.000584 244133570954,0.000532 244408790382,0.000675 244684405553,0.000546 244968228201,0.00069 245247985220,0.000473 
Default/optimizer-Momentum/ApplyMomentum-op34;HostCpuOps;213786238801,0.00185 214089231552,0.000861 214374766844,0.001002 215382520815,0.000994 215943737578,0.001291 216508175294,0.000963 217047493272,0.000936 217587952796,0.000877 218250503081,0.000913 218830768069,0.00087 219387154628,0.000925 219951876780,0.001086 220560757566,0.00097 220840747277,0.000723 221113873500,0.000725 221389866960,0.001243 221695962077,0.00177 221978001106,0.000961 222248578248,0.001295 222512982200,0.00095 222784931071,0.001198 223072061934,0.001387 223361554564,0.000836 223639877059,0.000937 223912381293,0.000966 224187867528,0.000945 224457533665,0.001111 224748214228,0.000907 225031933316,0.000926 225296528294,0.001167 225561260106,0.000897 225978744494,0.00098 226241672464,0.001098 226493424063,0.000873 226760942023,0.000896 227033956909,0.001202 227299636901,0.000922 227565579385,0.001154 227845120982,0.00085 228112082189,0.00123 228386779918,0.00106 228654828794,0.001109 228934148512,0.000984 229199997276,0.000973 229477833048,0.001048 229750644182,0.000997 230040336579,0.001168 230328618081,0.000927 230597927028,0.001156 230865065241,0.000958 231318106802,0.001043 231603146029,0.001219 231896635242,0.00106 232171860571,0.001169 232445985957,0.000921 232731061926,0.000977 233014558864,0.000912 233292126874,0.001007 233567089627,0.001197 233838702971,0.001 234123297617,0.000941 234403786129,0.001218 234689883194,0.001323 234983075860,0.001143 235263743040,0.000985 235535949373,0.000986 235813610522,0.001035 236090773160,0.001318 236363722009,0.001166 236792781665,0.000952 237067440610,0.001426 237349255904,0.00095 237623643494,0.000968 237900518665,0.000975 238180927284,0.000949 238455051917,0.001547 238731266841,0.001037 239007074116,0.001273 239287731494,0.001231 239558089243,0.001079 239819742156,0.001037 240100432453,0.000917 240376674683,0.001315 240648312605,0.000938 240918024624,0.000882 241207155388,0.000964 241480564327,0.001032 241763312883,0.000969 242199603239,0.001453 242469768148,0.000833 242730399569,0.000999 243007817011,0.001013 243311541041,0.001272 243581000110,0.000866 243860974160,0.001025 244133543190,0.001179 244408762234,0.001062 244684374901,0.000943 244968191579,0.001134 245247955664,0.001091 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op32;HostCpuOps;213786142680,0.01368 214089178292,0.011265 214374678835,0.008608 215382446157,0.018536 215943673967,0.009205 216508099955,0.014802 217047404727,0.017948 217587886987,0.012028 218250426557,0.01105 218830708531,0.00988 219387087003,0.013327 219951794347,0.022235 220560694139,0.012709 220840703059,0.005431 221113831637,0.005846 221389722798,0.019364 221695597009,0.010944 221977918856,0.014882 222248511922,0.010454 222512917819,0.010899 222784861308,0.007052 223071998666,0.008853 223361498400,0.009267 223639809803,0.014065 223912308751,0.011155 224187789801,0.007316 224457454983,0.007055 224748153771,0.010564 225031867691,0.014792 225296459401,0.013575 225561272912,0.013338 225978756746,0.006909 226241686114,0.008123 226493435933,0.007775 226760954397,0.006632 227033969687,0.00786 227299649173,0.00804 227565591922,0.007111 227845133162,0.00812 228112095665,0.007944 228386793110,0.012373 228654844245,0.019248 228934162433,0.017977 229200009810,0.007747 229477847545,0.010188 229750656859,0.007857 230040352668,0.011312 230328630889,0.011184 230597940498,0.010556 230865077937,0.009974 231318122744,0.011369 231603161991,0.010088 231896648640,0.009831 232171873605,0.007161 232446000026,0.010062 232731073795,0.007535 233014571584,0.007306 233292139389,0.00711 233567102269,0.007411 233838718314,0.011576 234123310551,0.007967 234403801245,0.009554 234689898686,0.008106 234983090641,0.011457 235263755877,0.008103 235535961063,0.00991 235813623997,0.01269 236090788299,0.008578 236363734784,0.008674 236792793730,0.008406 237067456119,0.010517 237349269776,0.012485 237623655886,0.008065 237900532037,0.011485 238180952543,0.010991 238455065048,0.01009 238731282339,0.012737 239007094814,0.024722 239287744979,0.009645 239558102745,0.009998 239819755190,0.009589 240100445836,0.012851 240376688205,0.010423 240648325900,0.010196 240918037564,0.024351 241207168542,0.011845 241480577999,0.010256 241763345284,0.01964 242199617331,0.008446 242469792323,0.009687 242730411639,0.008981 243007829328,0.008819 243311554476,0.00835 243581012237,0.009295 243860987070,0.008978 244133555627,0.008658 244408774643,0.009371 244684388314,0.010094 244968207410,0.011303 245247968826,0.009951 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/BiasAdd-op27;HostCpuOps;213785933367,0.00664 214088997909,0.004707 214374547844,0.005675 215382298885,0.006838 215943536046,0.005579 216507928557,0.006652 217046662338,0.005286 217587733893,0.005156 218250288512,0.005398 218830559091,0.005167 219386914543,0.005661 219951653991,0.005691 220560563504,0.005855 220840609836,0.005901 221113737165,0.004967 221389494581,0.004811 221695399680,0.004365 221977726026,0.004702 222248377392,0.003838 222512775039,0.004581 222784742025,0.004172 223071874632,0.003654 223361364485,0.003938 223639643212,0.005043 223912146700,0.003988 224187670485,0.003874 224457341520,0.004142 224748022739,0.003937 225031740565,0.003969 225296291351,0.003952 225561141329,0.004466 225978655671,0.003965 226241562254,0.004161 226493337399,0.004172 226760854811,0.004566 227033868986,0.003912 227299547565,0.004954 227565491194,0.004453 227845030259,0.004763 228111971716,0.004579 228386642744,0.004687 228651316348,0.004417 228934016647,0.004635 229199890069,0.004586 229477732406,0.004921 229750544446,0.00455 230040218148,0.004788 230328520222,0.004535 230597830522,0.005822 230864964935,0.004223 231317988798,0.004652 231603030332,0.005143 231896537530,0.004531 232171766056,0.004535 232445889101,0.0046 232730968039,0.005018 233014471427,0.004048 233292036489,0.004395 233566995526,0.0042 233838606830,0.004556 234123203572,0.004537 234403660792,0.005196 234689770720,0.005279 234982958477,0.005302 235263622650,0.004457 235535857820,0.004652 235813507691,0.004669 236090627956,0.004289 236363628468,0.004369 236792656760,0.004234 237067287343,0.004749 237349125904,0.004415 237623554400,0.004223 237900421509,0.004221 238180828906,0.004453 238454953979,0.005104 238731125221,0.004505 239002105618,0.00474 239287635332,0.004694 239557991759,0.004571 239819646748,0.00437 240100309120,0.004713 240376575358,0.004308 240648214024,0.004375 240917927175,0.004839 241207053247,0.004954 241480468633,0.004917 241763190752,0.005306 242199507805,0.004597 242469671537,0.005198 242730307067,0.00415 243007724028,0.004278 243311447262,0.004083 243580904478,0.004716 243860875532,0.00499 244133449405,0.00444 244408667865,0.004164 244684277023,0.00462 244968077581,0.004424 245247849778,0.004604 
